company,role,fit_score,why_fit,outreach_angle,proof_artifact,job_url,application_status
Voiceops,Founding AI Engineer,14,"role family: ai_ml_engineering; seniority: founding; data/AI leadership title (founding_ai); operator needs: model_eval_observability, agent_workflows, gtm_analytics; NYC role",Reference the NYC AI Hiring Atlas finding relevant to data_infra,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/95123,not_started
Ellipsis,Founding AI Engineer,13,"role family: ai_ml_engineering; seniority: founding; data/AI leadership title (founding_ai); operator needs: model_eval_observability, agent_workflows, workflow_automation; NYC role",Reference the NYC AI Hiring Atlas finding relevant to devtools_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/73519,not_started
Interfere,Founding AI Engineer,12,"role family: ai_ml_engineering; seniority: founding; data/AI leadership title (founding_ai); operator needs: model_eval_observability, agent_workflows; NYC role",Reference the NYC AI Hiring Atlas finding relevant to devtools_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/86526,not_started
Tracecat,Founding Forward Deployed Engineer (Security),12,"role family: forward_deployed_solutions; seniority: founding; operator needs: data_pipeline, model_eval_observability, agent_workflows, internal_tools; NYC role",Reference the NYC AI Hiring Atlas finding relevant to devtools_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/98390,not_started
Mbodi AI,Founding Research Engineer,11,"role family: data_science_research; seniority: founding; operator needs: data_pipeline, model_eval_observability, agent_workflows; NYC role",Reference the NYC AI Hiring Atlas finding relevant to ai_enabled_vertical_saas,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/95789,not_started
Tivara,"Founding Backend Engineer, AI Agents",11,"seniority: founding; data/AI leadership title (founding_ai); operator needs: model_eval_observability, agent_workflows; NYC role",Reference the NYC AI Hiring Atlas finding relevant to health_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/69497,not_started
Arva AI,Head of Sales,10,"seniority: head; operator needs: agent_workflows, workflow_automation, gtm_analytics, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/96447,not_started
Avallon AI,Founding Forward Deployed Engineer,10,"role family: forward_deployed_solutions; seniority: founding; operator needs: agent_workflows, workflow_automation, internal_tools; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/84939,not_started
Craniometrix,"Manager / Director, Growth Strategy & Operations (New York Metro)",10,"seniority: head; operator needs: metrics_governance, gtm_analytics, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to health_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/96158,not_started
Dream3D,Member of the Technical Staff - Image / Video Data Engineer,10,"role family: data_engineering; seniority: senior; operator needs: metrics_governance, agent_workflows; NYC role",Reference the NYC AI Hiring Atlas finding relevant to core_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/62882,not_started
Elevate,AI Deployment Lead,10,"role family: forward_deployed_solutions; seniority: lead; operator needs: data_pipeline, agent_workflows, internal_tools; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/93166,not_started
Haven,Founding Engineer,10,"seniority: founding; operator needs: product_analytics, model_eval_observability, agent_workflows, workflow_automation; NYC role",Reference the NYC AI Hiring Atlas finding relevant to ai_enabled_vertical_saas,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/70684,not_started
Output Biosciences,Head of Biology,10,"role family: data_science_research; seniority: head; operator needs: model_eval_observability, agent_workflows, workflow_automation; NYC role",Reference the NYC AI Hiring Atlas finding relevant to health_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/95886,not_started
Overdrive Health,Founding Engineer,10,"seniority: founding; operator needs: data_pipeline, agent_workflows, workflow_automation, internal_tools; NYC role",Reference the NYC AI Hiring Atlas finding relevant to health_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/92751,not_started
Photonium,Founding ML Engineer,10,role family: ai_ml_engineering; seniority: founding; data/AI leadership title (founding_ai); operator needs: agent_workflows; NYC role,Reference the NYC AI Hiring Atlas finding relevant to ai_enabled_vertical_saas,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/79020,not_started
Postal,Founding SDR and Customer Success,10,"seniority: founding; operator needs: agent_workflows, gtm_analytics, internal_tools, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/92480,not_started
Rove,"Director of Software Engineering, Earn",10,"seniority: head; operator needs: data_pipeline, product_analytics, model_eval_observability, gtm_analytics, internal_tools, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/94669,not_started
Abacum,Head of Demand Generation,9,"seniority: head; operator needs: product_analytics, gtm_analytics, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/96839,not_started
Atlog,Founding Engineer,9,"seniority: founding; operator needs: model_eval_observability, agent_workflows, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to ai_enabled_vertical_saas,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/86216,not_started
Autonomous Technologies Group,Member of Technical Staff (Research Engineering),9,"role family: data_science_research; seniority: senior; operator needs: product_analytics, model_eval_observability, agent_workflows; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/78687,not_started
Avallon AI,Founding Software Engineer,9,"seniority: founding; operator needs: model_eval_observability, agent_workflows, internal_tools; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/78636,not_started
Axle,Lead Deployment Strategist,9,"role family: forward_deployed_solutions; seniority: lead; operator needs: agent_workflows, workflow_automation, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/97457,not_started
Clearest Health,Contract Health Data Analyst,9,"role family: analytics_engineering_bi; operator needs: data_pipeline, warehouse_semantic_layer, metrics_governance, model_eval_observability, reporting_bi",Reference the NYC AI Hiring Atlas finding relevant to health_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/74470,not_started
Concourse,Forward Deployed Engineer (Finance),9,"role family: forward_deployed_solutions; operator needs: data_pipeline, warehouse_semantic_layer, product_analytics, agent_workflows, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/78498,not_started
Concourse,Applied AI Deployment Strategist,9,"role family: forward_deployed_solutions; operator needs: data_pipeline, warehouse_semantic_layer, product_analytics, agent_workflows, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/77817,not_started
Confido,Senior ML / AI Engineer,9,"role family: ai_ml_engineering; seniority: senior; operator needs: data_pipeline, agent_workflows, gtm_analytics; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/93170,not_started
Confido,Forward Deployed Engineer,9,"role family: forward_deployed_solutions; operator needs: data_pipeline, warehouse_semantic_layer, product_analytics, internal_tools; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/93174,not_started
Confido,Staff ML / AI Engineer,9,"role family: ai_ml_engineering; seniority: senior; operator needs: data_pipeline, agent_workflows, gtm_analytics; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/93169,not_started
Confido,Chief of Staff,9,"role family: founder_operator_generalist; seniority: head; operator needs: agent_workflows, reporting_bi; NYC role",Reference the NYC AI Hiring Atlas finding relevant to fintech_ai,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/76269,not_started
Datafold,Forward Deployed Data Engineer,9,"role family: forward_deployed_solutions; operator needs: data_pipeline, warehouse_semantic_layer, agent_workflows; NYC role",Reference the NYC AI Hiring Atlas finding relevant to data_infra,NYC AI Hiring Atlas (this repo),https://www.workatastartup.com/jobs/96703,not_started
